;density;conduct;capacity;t_init;t_top;t_bot;t_left;t_right;const
462;0.5746226676752282;-0.903752995947661;-0.9005505689382441;-1.6760400032124354;0.4853483328159704;1.6890478886398244;-1.416381764102404;1.0764803148687583;1.0
1798;-1.6532833858611338;0.11634075121172499;-1.5024547883977084;-0.9691894060719898;-0.08588367515008614;1.5334857200412946;0.8371890409781227;-1.3113555705750002;1.0
2362;1.0289769523882906;-1.531385452221179;-0.43456628232020383;0.5724315083150154;-0.045661752827592494;0.07054446565073899;1.6185768697615917;0.8176679517074092;1.0
968;-0.6203866317287434;1.0279432522972853;0.10976554012668245;-0.5504758414696417;-1.4465515486333251;-0.1418716957137808;0.13851576750230665;1.4461784991858087;1.0
2987;-0.2849405512433871;-0.9151394011466856;0.9513736107271142;-0.7863256595359746;1.4144397826509416;-0.9210658287302319;-0.19046231532150265;0.3450500414606117;1.0
618;1.4402989530702355;0.9020027099444357;0.5371460347383026;1.6615511408059767;0.942226514002368;-0.5971595825981513;-1.527794382944491;-1.571090128587987;1.0
944;-0.7838811340370812;1.2222515176416828;-0.9051635095496219;-0.9806310245264873;-1.541870087084286;-1.1055457139157314;-0.19407264244621245;0.8756411054460345;1.0
1803;-0.8271789909706614;1.1684741666800544;0.7300635583799969;1.722265069727571;0.3283910412206183;1.2809927873726525;-0.10890121915912535;0.431958796473736;1.0
1890;-1.4055946332846705;1.1104577211421658;-0.528172749448885;0.4517718156684186;1.5384334568493738;1.460117253639186;1.4708648916177085;-0.15916810342596818;1.0
2972;-0.8526134793256226;-0.29756247154243626;-0.7392135748433434;-0.15534437083484232;1.2640416796884104;1.1548351916264534;-0.7467064535387941;1.3147634157549593;1.0
1420;1.3422539604713053;-1.5431169000019924;-1.112958370451048;1.36623494030274;1.5402352443680951;1.1112267804291602;-1.211008363286236;-1.0318471159191105;1.0
2054;1.3102198785274979;-0.8341529780211542;-0.7595056832291007;1.3607076162941818;-1.2905974604987123;1.701621144889691;-0.23440910875647034;-1.380195794299003;1.0
2628;-0.7849767368625508;0.4718331940488105;-0.9887857376796453;-1.343002848581827;1.4238494332416136;0.8197389792683086;-0.3750503823398194;-1.5419459907892488;1.0
1813;-0.3481120627767695;1.039921159065091;-1.1247781250856463;1.7406201749513939;-1.567745915724596;1.621598976194322;1.4426282117413824;0.4125417289945319;1.0
2752;1.3882402464301733;1.3727886668963223;0.5285529233795161;-1.2982182400527136;1.665257699452611;-1.0031667963999182;-0.5993059093641349;1.0966017723853938;1.0
